"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"benchmarking.PurchaseOrderBenchmark.xb25:·gc.alloc.rate","avgt",1,20,0.666319,0.030145,"MB/sec"
"benchmarking.PurchaseOrderBenchmark.xb25:·gc.alloc.rate.norm","avgt",1,20,359125.600000,15900.079305,"B/op"
"benchmarking.PurchaseOrderBenchmark.xb25:·gc.count","avgt",1,20,0.000000,NaN,"counts"
"benchmarking.PurchaseOrderBenchmark.xb250","avgt",1,20,0.014198,0.004296,"s/op"
"benchmarking.PurchaseOrderBenchmark.xb250:·gc.alloc.rate","avgt",1,20,4.549746,0.035518,"MB/sec"
"benchmarking.PurchaseOrderBenchmark.xb250:·gc.alloc.rate.norm","avgt",1,20,2457518.400000,6536.190534,"B/op"
"benchmarking.PurchaseOrderBenchmark.xb250:·gc.count","avgt",1,20,0.000000,NaN,"counts"
"benchmarking.PurchaseOrderBenchmark.xb2500","avgt",1,20,0.101911,0.007645,"s/op"
"benchmarking.PurchaseOrderBenchmark.xb2500:·gc.alloc.rate","avgt",1,20,36.961302,1.059261,"MB/sec"
"benchmarking.PurchaseOrderBenchmark.xb2500:·gc.alloc.rate.norm","avgt",1,20,23352986.400000,558734.284282,"B/op"
"benchmarking.PurchaseOrderBenchmark.xb2500:·gc.count","avgt",1,20,0.000000,NaN,"counts"
"benchmarking.PurchaseOrderBenchmark.xb25000","avgt",1,20,5.245251,0.600824,"s/op"
"benchmarking.PurchaseOrderBenchmark.xb25000:·gc.alloc.rate","avgt",1,20,39.603647,3.256456,"MB/sec"
"benchmarking.PurchaseOrderBenchmark.xb25000:·gc.alloc.rate.norm","avgt",1,20,236060236.800000,432440.585655,"B/op"
"benchmarking.PurchaseOrderBenchmark.xb25000:·gc.churn.PS_Eden_Space","avgt",1,20,42.913501,38.641223,"MB/sec"
"benchmarking.PurchaseOrderBenchmark.xb25000:·gc.churn.PS_Eden_Space.norm","avgt",1,20,252130099.200000,225101177.095642,"B/op"
"benchmarking.PurchaseOrderBenchmark.xb25000:·gc.churn.PS_Survivor_Space","avgt",1,20,0.189440,0.735673,"MB/sec"
"benchmarking.PurchaseOrderBenchmark.xb25000:·gc.churn.PS_Survivor_Space.norm","avgt",1,20,1028915.200000,3995695.309502,"B/op"
"benchmarking.PurchaseOrderBenchmark.xb25000:·gc.count","avgt",1,20,10.000000,NaN,"counts"
"benchmarking.PurchaseOrderBenchmark.xb25000:·gc.time","avgt",1,20,124.000000,NaN,"ms"
"benchmarking.PurchaseOrderBenchmark.xb5","avgt",1,20,0.009875,0.003340,"s/op"
"benchmarking.PurchaseOrderBenchmark.xb5:·gc.alloc.rate","avgt",1,20,0.260134,0.010329,"MB/sec"
"benchmarking.PurchaseOrderBenchmark.xb5:·gc.alloc.rate.norm","avgt",1,20,139310.800000,5743.598739,"B/op"
"benchmarking.PurchaseOrderBenchmark.xb5:·gc.count","avgt",1,20,0.000000,NaN,"counts"
"benchmarking.PurchaseOrderBenchmark.xb50","avgt",1,20,0.007406,0.001633,"s/op"
"benchmarking.PurchaseOrderBenchmark.xb50:·gc.alloc.rate","avgt",1,20,1.138936,0.024993,"MB/sec"
"benchmarking.PurchaseOrderBenchmark.xb50:·gc.alloc.rate.norm","avgt",1,20,607036.000000,14223.207394,"B/op"
"benchmarking.PurchaseOrderBenchmark.xb50:·gc.count","avgt",1,20,0.000000,NaN,"counts"
"benchmarking.PurchaseOrderBenchmark.xb500","avgt",1,20,0.018891,0.016920,"s/op"
"benchmarking.PurchaseOrderBenchmark.xb500:·gc.alloc.rate","avgt",1,20,8.730212,0.240958,"MB/sec"
"benchmarking.PurchaseOrderBenchmark.xb500:·gc.alloc.rate.norm","avgt",1,20,4751868.000000,37218.906013,"B/op"
"benchmarking.PurchaseOrderBenchmark.xb500:·gc.churn.PS_Eden_Space","avgt",1,20,39.311370,152.662003,"MB/sec"
"benchmarking.PurchaseOrderBenchmark.xb500:·gc.churn.PS_Eden_Space.norm","avgt",1,20,24693964.800000,95896687.428050,"B/op"
"benchmarking.PurchaseOrderBenchmark.xb500:·gc.churn.PS_Old_Gen","avgt",1,20,0.965121,3.747956,"MB/sec"
"benchmarking.PurchaseOrderBenchmark.xb500:·gc.churn.PS_Old_Gen.norm","avgt",1,20,606253.600000,2354328.778396,"B/op"
"benchmarking.PurchaseOrderBenchmark.xb500:·gc.churn.PS_Survivor_Space","avgt",1,20,6.090877,23.653346,"MB/sec"
"benchmarking.PurchaseOrderBenchmark.xb500:·gc.churn.PS_Survivor_Space.norm","avgt",1,20,3826066.000000,14858167.096808,"B/op"
"benchmarking.PurchaseOrderBenchmark.xb500:·gc.count","avgt",1,20,2.000000,NaN,"counts"
"benchmarking.PurchaseOrderBenchmark.xb500:·gc.time","avgt",1,20,82.000000,NaN,"ms"
"benchmarking.PurchaseOrderBenchmark.xb5000","avgt",1,20,0.280434,0.006548,"s/op"
"benchmarking.PurchaseOrderBenchmark.xb5000:·gc.alloc.rate","avgt",1,20,55.305124,0.441476,"MB/sec"
"benchmarking.PurchaseOrderBenchmark.xb5000:·gc.alloc.rate.norm","avgt",1,20,45301467.200000,53727.413432,"B/op"
"benchmarking.PurchaseOrderBenchmark.xb5000:·gc.churn.PS_Eden_Space","avgt",1,20,29.278376,113.699815,"MB/sec"
"benchmarking.PurchaseOrderBenchmark.xb5000:·gc.churn.PS_Eden_Space.norm","avgt",1,20,23802675.200000,92435448.179055,"B/op"
"benchmarking.PurchaseOrderBenchmark.xb5000:·gc.count","avgt",1,20,1.000000,NaN,"counts"
"benchmarking.PurchaseOrderBenchmark.xb5000:·gc.time","avgt",1,20,7.000000,NaN,"ms"
"benchmarking.PurchaseOrderBenchmark.xb50000","avgt",1,20,23.312140,4.332447,"s/op"
"benchmarking.PurchaseOrderBenchmark.xb50000:·gc.alloc.rate","avgt",1,20,19.623687,2.875820,"MB/sec"
"benchmarking.PurchaseOrderBenchmark.xb50000:·gc.alloc.rate.norm","avgt",1,20,473788655.200000,716657.640104,"B/op"
"benchmarking.PurchaseOrderBenchmark.xb50000:·gc.churn.PS_Eden_Space","avgt",1,20,19.977285,3.178974,"MB/sec"
"benchmarking.PurchaseOrderBenchmark.xb50000:·gc.churn.PS_Eden_Space.norm","avgt",1,20,486880051.200000,73644611.776260,"B/op"
"benchmarking.PurchaseOrderBenchmark.xb50000:·gc.churn.PS_Survivor_Space","avgt",1,20,0.129017,0.203985,"MB/sec"
"benchmarking.PurchaseOrderBenchmark.xb50000:·gc.churn.PS_Survivor_Space.norm","avgt",1,20,3185049.600000,5021852.759537,"B/op"
"benchmarking.PurchaseOrderBenchmark.xb50000:·gc.count","avgt",1,20,21.000000,NaN,"counts"
"benchmarking.PurchaseOrderBenchmark.xb50000:·gc.time","avgt",1,20,775.000000,NaN,"ms"
